Pithouse_ID,Original_ID,SiteCode,MajorAxis,MinorAxis,PotPhase,REF,TOPO_AFTER1,TOPO_AFTER2,TOPO_AFTER3,TOPO_AFTER4
AYJ-001,SI11(J30),AYJ,NA,NA,Kasori_EII,CHBNEWT25,,,,
AYJ-002,SI42(J29),AYJ,NA,NA,Kasori_EIV,CHBNEWT25,,,,
AYK-001,SB-001,AYK,NA,NA,Kasori_EI,CHBNEWT19,,,,
AYK-002,SB-009,AYK,NA,NA,Kasori_EI-EII,CHBNEWT19,,,,
AYK-003,SB-010,AYK,NA,NA,Kasori_EI-EII,CHBNEWT19,,,,
AYK-004,SB-011,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-005,SB-012,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-006,SB-013A,AYK,7.2,5.8,Kasori_EII,CHBNEWT19,,,,
AYK-007,SB-013B,AYK,7.2,5.8,Kasori_EII,CHBNEWT19,,,,
AYK-008,SB-017,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-009,SB-019,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-010,SB-047A,AYK,5,5,Kasori_EII,CHBNEWT19,,,,
AYK-011,SB-047B,AYK,5,5,(upto)Kasori_EII,CHBNEWT19,,,,
AYK-012,SB-048A,AYK,7.3,6.3,Kasori_EII,CHBNEWT19,,,,
AYK-013,SB-048B,AYK,7.3,6.3,(upto)Kasori_EII,CHBNEWT19,,,,
AYK-014,SB-049A,AYK,5,5,Kasori_EII,CHBNEWT19,,,,
AYK-015,SB-049B,AYK,5,5,(upto)Kasori_EII,CHBNEWT19,,,,
AYK-016,SB-051A,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-017,SB-051B,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-018,SB-052A,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-019,SB-052B,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-020,SB-053,AYK,NA,NA,(upto)Kasori_EII,CHBNEWT19,,,,
AYK-021,SB-054,AYK,NA,NA,Kasori_EI,CHBNEWT19,,,,
AYK-022,SB-056,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-023,SB-057,AYK,5.2,4.2,Kasori_EII,CHBNEWT19,,,,
AYK-024,SB-058A,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-025,SB-058B,AYK,NA,NA,Kasori_EI,CHBNEWT19,,,,
AYK-026,SB-059,AYK,4,4,Kasori_EII,CHBNEWT19,,,,
AYK-027,SB-060,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-028,SB-062,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-029,SB-063,AYK,4.7,4.7,Kasori_EII,CHBNEWT19,,,,
AYK-030,SB-065,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-031,SB-068,AYK,5.5,4.6,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-032,SB-070,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-033,SB-073,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-034,SB-074A,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-035,SB-074B,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-036,SB-074C,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-037,SB-077,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-038,SB-079,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-039,SB-084A,AYK,5,5,Kasori_EI,CHBNEWT19,,,,
AYK-040,SB-084B,AYK,5,5,Kasori_EI,CHBNEWT19,,,,
AYK-041,SB-084C,AYK,5,5,Kasori_EI,CHBNEWT19,,,,
AYK-042,SB-085A,AYK,5,5,Kasori_EI,CHBNEWT19,,,,
AYK-043,SB-085B,AYK,5,5,Kasori_EI,CHBNEWT19,,,,
AYK-044,SB-086A,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-045,SB-086B,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-046,SB-086C,AYK,NA,NA,Kasori_EII,CHBNEWT19,,,,
AYK-047,SB-088,AYK,5.2,NA,Kasori_EI,CHBNEWT19,,,,
AYK-048,SB-089A,AYK,NA,NA,Kasori_EI,CHBNEWT19,,,,
AYK-049,SB-090,AYK,5.3,4.7,Kasori_EI,CHBNEWT19,,,,
AYK-050,SB-091,AYK,5,3.9,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-051,SB-093A,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
AYK-052,SB-093B,AYK,NA,NA,Nakabyo-Kasori_EI,CHBNEWT19,,,,
