PotPhase,PotCorrespond,Shinchihei,START,END
?,Jomon,,-12000,-2900
(final)KasoriE,Kasori_EIV,13a-13b,-4520,-4420
(final)Middle_Jomon,Kasori_EIII-EIV,12c-13b,-4590,-4420
(upto)Kasori_EI,Nakabyo-Kasori_EI,9c-11a,-4920,-4780
(upto)Kasori_EII,Nakabyo-Kasori_EII,9c-12b,-4920,-4670
Angyo1, -,,-3400,-3200
Angyo1-3b,Angyo1-Oobora BC,,-3400,-3050
Horinouchi,,,-4240,-3980
Horinouchi_I,,,-4240,-3980
Horinouchi_II,,,-3980,-3820
Jomon,,,-12000,-2900
Jomon?,Jomon,,-12000,-2900
Kasori_B,,,-3820,-3470
Kasori_E,,10a-13b,-4900,-4420
Kasori_E_[EII?_EIII?],Kasori_EII-EIII,11b-12c,-4780,-4520
Kasori_E?,Kasori_E,10a-13b,-4900,-4420
Kasori_E(new),Kasori_EIII-EIV,12c-13b,-4590,-4420
Kasori_EI,,10a-11a,-4900,-4780
Kasori_EI-EII,,10a-12b,-4900,-4670
Kasori_EI-EII?,,10a-12b,-4900,-4670
Kasori_EI?,,10a-11a,-4900,-4780
Kasori_EII,,11b-12b,-4780,-4670
Kasori_EII-,Kasori_EII-EIV,11b-13b,-4780,-4420
Kasori_EII-EIII,,11b-12c,-4780,-4520
Kasori_EII?,,11b-12b,-4780,-4670
Kasori_EII(new),,12a-12b,-4710,-4590
Kasori_EII(new)-EIII(old),,12a-12c,-4710,-4520
Kasori_EII(old),,11b-11c2,-4780,-4710
Kasori_EIII,,12c,-4590,-4520
Kasori_EIII-?,,12c-13b,-4590,-4420
Kasori_EIII-EIV,,12c-13b,-4590,-4420
Kasori_EIII?,,12c,-4590,-4520
Kasori_EIII(new),,12c,-4590,-4520
Kasori_EIII(old),,12c,-4590,-4520
Kasori_EIV,,13a-13b,-4520,-4420
Kasori_EIV-Shomyoji(old),,,-4520,-4300
Late_Jomon_Angyo?,,,-3400,-3220
Late_Jomon?,,,-4420,-3220
Late-Final_Jomon?,,,-4420,-2350
Middle_to_Late_Jomon,,,-5470,-3220
Middle_Jomon,,,-5470,-4420
Middle_Jomon?,,,-5470,-4420
Middle_Middle_Jomon?,Otamdai-Kasori_EI,5a-11a,-5380,-4670
Middle_to_Late_Middle_Jomon,Nakabyo-Kasori_EIV,9c-13b,-4920,-4420
Nakabyo,,9c,-4920,-4900
Nakabyo-Kasori_EI,,9c-11a,-4920,-4780
Nakabyo-Kasori_EII,,9c-12b,-4920,-4670
Nakabyo-Otamadai_IV,,9b-9c,-5000,-4920
Nakabyo?,,9c,-4920,-4900
Otamadai_I-II,,5a-8b,-5380,-5300
Otamadai_II-IV,,6b-9a,-5300,-4920
Otamadai_II-Kasori_EII,,6b-12b,-5300,-4670
Otamadai_III,,8b-9a,-5150,-5000
Otamadai_III-Nakabyo,,8b-9c,-5150,-4920
Otamadai?,,5a-9b,-5380,-4920
Shomyoji(old),,,-4420,-4290
Soya,,,-3470,-3400
