REF,Year,Institution,SubTitle,Series,Vol
CHBNEWT01,1975,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Shiinazakikofungun (daiichijichousa),Chibatounanbunyutaun [Chiba South East New Town],1
CHBNEWT02,1975,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Kidosakuiseki (daiichijichousa),Chibatounanbunyutaun [Chiba South East New Town],2
CHBNEWT03,1975,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Ariyoshiiseki(daiichiji),Chibatounanbunyutaun [Chiba South East New Town],3
CHBNEWT04,1977,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Oihamakofungun,Chibatounanbunyutaun [Chiba South East New Town],4
CHBNEWT05,1978,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Ariyoshiiseki(dainiji),Chibatounanbunyutaun [Chiba South East New Town],5
CHBNEWT06,1979,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Shinmeisakiiseki,Chibatounanbunyutaun [Chiba South East New Town],6
CHBNEWT07,1979,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Kidosakuiseki (danijichousa),Chibatounanbunyutaun [Chiba South East New Town],7
CHBNEWT08,1979,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Mukoarakuiseki/Kokanzawakofungun,Chibatounanbunyutaun [Chiba South East New Town],8
CHBNEWT09,1980,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Rokutsuuiseki/Ootsukadaiiseki,Chibatounanbunyutaun [Chiba South East New Town],9
CHBNEWT10,1982,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Kokanzawakaizuka,Chibatounanbunyutaun [Chiba South East New Town],10
CHBNEWT11,1981,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Rokutsuukaneyamaiseki,Chibatounanbunyutaun [Chiba South East New Town],11
CHBNEWT12,1983,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Minamifutaeboriiseki,Chibatounanbunyutaun [Chiba South East New Town],12
CHBNEWT13,1982,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Kamiakatsuka1goufun/Kitsunedukakofungun,Chibatounanbunyutaun [Chiba South East New Town],13
CHBNEWT14,1983,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Bakuchianaiseki/Ariyoshiiseki(daisanji)/Ariyoshiminamiiseki,Chibatounanbunyutaun [Chiba South East New Town],14
CHBNEWT15,1984,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Umanokuchiiseki/Ariyoshijouato/Shiratoridaiiseki,Chibatounanbunyutaun [Chiba South East New Town],15
CHBNEWT16,1985,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Daizennokitaiseki,Chibatounanbunyutaun [Chiba South East New Town],16
CHBNEWT17,1990,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Takazawaiseki,Chibatounanbunyutaun [Chiba South East New Town],17
CHBNEWT18,1993,Chibakenbunkazaisentaa [Chiba Prefecture Cultural Heritage Centre],Kamatoriiseki,Chibatounanbunyutaun [Chiba South East New Town],18
