No,山名,Name,Pronunciation,Altitude,Prefecture,lat,lon
1,利尻岳,Mt. Rishiri,rishiri-dake,1721,Hokkaido,45.17861,141.24194
2,羅臼岳,Mt. Rausu,rausu-dake,1660,Hokkaido,44.07583,145.12222
3,斜里岳,Mt. Shari,shari-dake,1545,Hokkaido,43.76556,144.71778
4,阿寒岳,Akan Volcanic Complex,akan-dake,1370,Hokkaido,43.38667,144.00889
5,大雪山,Daisetsuzan Volcanic Group,daisetsu-zan,2290,Hokkaido,43.663583,142.854139
6,トムラウシ,Mt. Tomuraushi,tomuraushi,2141,Hokkaido,43.52722,142.84889
7,十勝岳,Mt. Tokachi,tokachi-dake,2077,Hokkaido,43.41806,142.68639
8,幌尻岳,Mt. Poroshiri,poroshiri-dake,2052,Hokkaido,42.71944,142.68278
9,後方羊蹄山,Mt. Yotei,shiribeshi-yama,1898,Hokkaido,42.82666666666667,140.8113888888889
10,岩木山,Mt. Iwaki,iwaki-san,1625,Aomori,40.65556,140.30361
11,八甲田山,Hakkoda Mountains,hakkouda-san,1584,Aomori,40.658611111111114,140.87722222222223
12,八幡平,Mt. Hachimantai,hachimantai,1613,Iwate/Akita,39.95777777777778,140.85416666666666
13,岩手山,Mt. Iwate,iwate-san,2038,Iwate,39.85,141
14,早池峰,Mt. Hayachine,hayachine,1917,Iwate,39.55861,141.48861
15,鳥海山,Mt. Chokai,choukai-san,2236,Akita/Yamagata,39.09916666666667,140.04888888888888
16,月山,Mt. Gassan,gassan,1984,Yamagata,38.54888888888889,140.02694444444444
17,朝日岳,Mt. Asahi,asahi-dake,1870,Yamagata/Niigata,38.260555555555555,139.92222222222222
18,蔵王山,Mt. Zao,zaou-san,1841,Miyagi/Yamagata,38.14361,140.43944
19,飯豊山,Mt. Iide,iide-san,2105,Yamagata/Fukushima/Niigata,37.85472,139.70722
20,吾妻山,Mt. Azuma,azuma-san,2035,Yamagata/Fukushima,37.738055555555555,140.14055555555555
21,安達太良山,Mt. Adatara,adatara-yama,1700,Fukushima,37.647222222222226,140.28083333333333
22,磐梯山,Mt. Bandai,bandai-san,1819,Fukushima,37.60111,140.07222
23,会津駒ヶ岳,Mt. Aizu-Komagatake,aizu-komaga-take,2133,Fukushima,37.047611,139.353778
24,那須岳,Mt. Nasu,nasu-dake,1915,Fukushima/Tochigi,37.124806,139.963139
25,魚沼駒ヶ岳,Mt. Uonuma-Komagatake,uonuma-komaga-take,2003,Niigata,37.12361111111111,139.07527777777779
26,平ヶ岳,Mt. Hiragatake,Hiraga-take,2141,Niigata/Gunma,37.00194,139.17083
27,巻機山,Mt. Makihata,makihata-yama,1967,Niigata/Gunma,36.978611111111114,138.96416666666667
28,燧岳,Mt. Hiuchidake,hiuchi-dake,2356,Fukushima,36.955,139.28527777777776
29,至仏山,Mt. Shibutsu,shibutsu-san,2228,Gunma,36.903472,139.17325
30,谷川岳,Mt. Tanigawa,tanigawa-dake,1963,Niigata/Gunma,36.83722,138.93
31,雨飾山,Mt. Amakazari,amakazari-yama,1963,Niigata/Nagano,36.901944444444446,137.9625
32,苗場山,Mt. Naeba,naeba-san,2145,Niigata/Nagano,36.84583,138.69028
33,妙高山,Mt. Myoko,myoukou-san,2454,Niigata,36.89138888888889,138.1136111111111
34,火打山,Mt. Hiuchi,hiuchi-yama,2462,Niigata,36.92278,138.06806
35,高妻山,Mt. Takatsuma,takatsuma-yama,2353,Niigata/Nagano,36.8,138.05194
36,男体山,Mt. Nantai,nantai-san,2484,Tochigi,36.765,139.49083333333334
37,奥白根山,Mt. Oku-Shirane,oku-shirane-san,2578,Tochigi/Gunma,36.79861,139.37583
38,皇海山,Mt. Sukai,sukai-san,2144,Tochigi/Gunma,36.69,139.33694
39,武尊山,Mt. Hotaka,hotaka-yama,2158,Gunma,36.805277777777775,139.1325
40,赤城山,Mt. Akagi,akagi-yama,1828,Gunma,36.5608,139.1936
41,草津白根山,Mt. Kusatsu-Shirane,kusatsu-shirane-san,2171,Gunma,36.64388888888889,138.52777777777777
42,四阿山,Mt. Azumaya,azumaya-san,2354,Gunma/Nagano,36.541666666666664,138.41305555555556
43,浅間山,Mt. Asama,asama-yama,2568,Gunma/Nagano,36.40639,138.52306
44,筑波山,Mt. Tsukuba,tsukuba-san,876,Ibaraki,36.22528,140.10667
45,白馬岳,Mt. Shirouma,shirouma-dake,2932,Nagano/Toyama,36.75861111111111,137.75861111111112
46,五竜岳,Mt. Goryu,goryu-dake,2814,Nagano/Toyama,36.65833,137.75278
47,鹿島槍岳,Mt. Kashima-Yaridake,kashimayari-dake,2889,Nagano/Toyama,36.62444444444444,137.74694444444444
48,剣岳,Mt. Tsurugi,tsurugi-dake,2998,Toyama,36.623333333333335,137.61694444444444
49,立山,Tateyama,tateyama,3003,Toyama,36.575833333333335,137.6197222222222
50,薬師岳,Mt. Yakushi,yakushi-dake,2926,Toyama,36.46889,137.54472
51,黒部五郎岳,Mt. Kurobegoro,kurobegorou-dake,2840,Toyama/Gifu,36.3925,137.54
52,黒岳,Mt. Kurodake,kuro-dake,2986,Toyama,36.42639,137.60278
53,鷲羽岳,Mt. Washiba,washiba-dake,2924,Nagano/Toyama,36.40306,137.60528
54,槍ヶ岳,Mt. Yarigatake,yariga-take,3180,Nagano/Gifu,36.34194,137.6475
55,穂高岳,Mt. Hotakadake,hotaka-dake,3190,Nagano/Gifu,36.28917,137.64806
56,常念岳,Mt. Jonendake,jounen-dake,2857,Nagano,36.32556,137.7275
57,笠ヶ岳,Mt. Kasagadake,kasaga-dake,2897,Gifu,36.31556,137.55028
58,焼岳,Mt. Yake,yake-dake,2455,Nagano/Gifu,36.22694,137.58694
59,乗鞍岳,Mt. Norikura,norikura-dake,3026,Nagano/Gifu,36.10639,137.55361
60,御嶽山,Mt. Ontake,ontake-san,3067,Nagano/Gifu,35.89278,137.48028
61,美ヶ原,Utsukushigahara,utsukushigahara,2034,Nagano,36.22583,138.1075
62,霧ヶ峰,Mt. Kirigamine,kirigamine,1925,Nagano,36.10305555555556,138.19666666666666
63,蓼科山,Mt. Tateshina,tateshina-yama,2530,Nagano,36.103611111111114,138.295
64,八ヶ岳,Southern Yatsugatake Volcanic Group,yatsuga-take,2899,Nagano/Yamanashi,35.97083,138.37
65,両神山,Mt. Ryokami,ryoukami-san,1723,Saitama,36.02333333333333,138.8413888888889
66,雲取山,Mt. Kumotori,kumotori-yama,2017,Saitama/Tokyo/Yamanashi,35.855555555555554,138.9438888888889
67,甲武信岳,Mt. Kobushidake,kobushi-dake,2475,Saitama/Nagano/Yamanashi,35.90888888888889,138.7288888888889
68,金峰山,Mt. Kinpu,kinpu-san/kinpou-zan,2599,Nagano/Yamanashi,35.87138888888889,138.62527777777777
69,瑞牆山,Mt. Mizugaki,mizugaki-yama,2230,Yamanashi,35.89333333333333,138.59194444444444
70,大菩薩岳,Mt. Daibosatsudake,daibosatsu-dake/daibosatsu-rei,2057,Yamanashi,35.74861,138.84528
71,丹沢山,Mt. Tanzawa,tanzawa-san,1673,Kanagawa,35.47417,139.16278
72,富士山,Mt. Fuji,fuji-san,3776,Yamanashi/Shizuoka,35.3625,138.7306
73,天城山,Mt. Amagi,amagi-san,1406,Shizuoka,34.86277777777778,139.00166666666667
74,木曽駒ヶ岳,Mt. Kisokoma,kiso-komaga-take,2956,Nagano,35.78944,137.80444
75,空木岳,Mt. Utsugi,utsugi-dake,2864,Nagano,35.71889,137.81722
76,恵那山,Mt. Ena,ena-san,2191,Nagano/Gifu,35.44361,137.59722
77,甲斐駒ヶ岳,Kaikoma-dake,kai-komaga-take,2967,Yamanashi/Nagano,35.757777777777775,138.23666666666668
78,仙丈岳,Mt. Senjo,senjou-dake,3033,Yamanashi/Nagano,35.72,138.18361
79,鳳凰山,Mt. Hōō,houou-zan,2840,Yamanashi,35.70167,138.30472
80,北岳,Mt. Kitadake,kita-dake,3192,Yamanashi,35.67444,138.23889
81,間ノ岳,Mt. Aino,aino-dake,3182,Yamanashi/Shizuoka,35.64611,138.22833
82,塩見岳,Mt. Shiomi,shiomi-dake,2054,Nagano/Shizuoka,35.57388888888889,138.18305555555557
83,悪沢岳,Mt. Warusawa,warusawa-dake,2141,Nagano/Shizuoka,35.50056,138.18222
84,赤石岳,Mt. Akaishi,akaishi-dake,3120,Nagano/Shizuoka,35.4611,138.1572
85,聖岳,Mt. Hijiri,hijiri-dake,3013,Nagano/Shizuoka,35.422777777777775,138.13972222222222
86,光岳,Mt. Tekari,tekari-dake,2591,Nagano/Shizuoka,35.33806,138.08389
87,白山,Hakusan,haku-san,2702,Gifu/Ishikawa,36.155,136.77139
88,荒島岳,Mt. Arashima,arashima-dake,1523,Fukui,35.93417,136.60139
89,伊吹山,Mt. Ibuki,ibuki-yama,1377,Gifu/Shiga,35.41778,136.40639
90,大台ヶ原山,Mt. Odaigahara,oodaigahara-yamam,1695,Mie/Nara,34.18528,136.10917
91,大峰山,Mt. Omine,oomine-san,1915,Nara,34.25237777777778,135.94093333333333
92,大山,Mt. Daisen,daisen,1711,Tottori,35.37111,133.54
93,剣山,Mt. Tsurugi,tsurugi-san,1955,Tokushima,33.853611111111114,134.09416666666667
94,石槌山,Mt. Ishizuchi,ishizuchi-san,1982,Ehime,33.7675,133.115
95,九重山,Kujuzan,kujuu-san,1787,Oita,33.08583,131.24889
96,祖母山,Mt. Sobo,sobo-san,1756,Oita/Miyazaki,32.82805555555556,131.34694444444443
97,阿蘇山,Mt. Aso,aso-san,1592,Kumamoto,32.88417,131.10389
98,霧島山,Mt. Kirishima,kirishima-yama,1574,Miyazaki/Kagoshima,31.93417,130.86167
99,開聞岳,Kaimondake,kaimon-dake,922,Kagoshima,31.18,130.52833333333334
100,宮之浦岳,Mt. Miyanoura,miyanoura-dake,1935,Kagoshima,30.336083,130.50417
