ダウンロードした時刻：2021/05/16 23:41:31

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2011年5月15日,15.5,24.0,6.5,--,11.1,--,2.9,955.9,40,
2011年5月16日,15.3,22.5,8.4,--,4.5,--,2.3,955.1,57,
2011年5月17日,14.9,23.0,9.6,1.0,4.5,--,2.5,950.4,64,
2011年5月18日,15.9,24.7,7.0,--,12.4,--,2.6,955.3,52,
2011年5月19日,17.5,27.6,8.1,--,12.4,--,2.6,957.6,49,
2011年5月20日,18.9,29.0,10.0,--,12.0,--,2.8,954.7,52,
2011年5月21日,21.3,30.7,12.0,--,11.8,--,3.2,951.7,55,
2011年5月22日,18.9,23.3,15.7,3.5,0.3,--,2.1,950.6,78,
2011年5月23日,14.1,16.2,10.9,12.5,0.0,--,1.7,954.0,83,
2011年5月24日,13.7,22.3,8.2,21.5,5.3,--,2.7,954.6,75,
2011年5月25日,17.8,25.3,11.5,--,11.6,--,2.2,956.4,65,
2011年5月26日,17.0,23.4,13.2,3.5,2.5,--,2.1,958.2,69,
2011年5月27日,15.6,18.0,13.2,2.5,0.0,--,1.1,956.8,83,
2011年5月28日,16.9,18.9,14.4,17.0,0.0,--,0.8,953.7,92,
2011年5月29日,17.4,19.3,16.6,89.0,0.0,--,1.6,943.7,95,
2011年5月30日,18.1,23.0,14.4,2.0,3.0,--,3.7,936.2,70,
2011年5月31日,16.9,23.2,11.3,--,8.5,--,3.3,949.2,67,
2011年6月1日,14.3,16.0,12.9,11.0,0.0,--,2.1,955.0,86,
2011年6月2日,14.4,16.3,12.7,25.0,0.0,--,1.2,954.7,92,
2011年6月3日,17.5,23.5,13.0,--,3.2,--,1.8,952.2,72,
2011年6月4日,19.0,26.6,10.9,--,12.0,--,2.8,950.4,60,
2011年6月5日,19.6,25.3,15.0,0.0,2.9,--,2.4,947.2,68,
2011年6月6日,20.2,28.6,13.0,--,11.4,--,2.3,947.1,60,
2011年6月7日,17.9,23.0,15.0,--,1.5,--,1.8,947.8,69,
2011年6月8日,19.6,27.4,14.2,1.0,4.5,--,2.1,945.7,71,
2011年6月9日,21.4,27.4,17.2,--,4.8,--,3.0,947.7,65,
2011年6月10日,20.5,25.3,15.8,0.5,1.4,--,2.2,947.9,75,
2011年6月11日,19.7,23.5,17.3,49.5,1.5,--,1.4,942.8,86,
2011年6月12日,19.7,25.4,15.2,8.0,0.1,--,1.8,946.9,76,
2011年6月13日,19.6,26.2,14.8,24.0,4.0,--,2.1,943.0,76,
2011年6月14日,21.2,27.8,16.3,--,8.5,--,2.6,946.2,61,
2011年6月15日,19.0,25.0,14.1,--,4.8,--,2.3,950.5,66,
2011年6月16日,18.1,22.6,15.7,5.5,0.4,--,1.4,952.2,80,
2011年6月17日,19.2,24.0,16.2,6.5,0.4,--,1.9,949.4,85,
2011年6月18日,18.9,22.4,17.1,18.0,0.0,--,1.4,948.4,87,
2011年6月19日,20.2,23.6,16.9,--,0.0,--,1.7,950.0,82,
2011年6月20日,21.1,24.0,18.2,1.5,0.6,--,2.0,952.6,83,
2011年6月21日,22.2,27.6,19.3,18.5,3.7,--,2.5,952.5,77,
2011年6月22日,22.9,30.8,16.8,10.5,5.4,--,2.5,951.5,77,
2011年6月23日,23.6,26.7,21.0,10.5,0.6,--,2.4,948.3,84,
2011年6月24日,26.2,31.1,21.8,5.5,5.5,--,3.8,949.0,67,
2011年6月25日,24.4,32.1,21.6,14.5,5.8,--,2.2,954.0,80,
2011年6月26日,25.7,31.0,21.3,1.5,6.5,--,3.5,956.4,68,
2011年6月27日,24.3,29.5,20.7,4.0,1.7,--,3.2,954.9,79,
2011年6月28日,27.3,32.4,22.6,0.0,8.4,--,3.2,954.1,67,
2011年6月29日,28.4,34.6,22.6,--,12.3,--,2.7,954.0,60,
2011年6月30日,25.9,33.3,21.5,0.0,7.1,--,2.6,952.7,69,
2011年7月1日,24.5,31.0,20.3,--,2.8,--,2.3,946.8,73,
2011年7月2日,25.8,32.3,20.6,--,6.9,--,2.3,944.2,71,
2011年7月3日,26.1,30.8,22.6,0.0,3.0,--,2.7,945.6,72,
2011年7月4日,25.7,31.0,20.9,12.0,0.6,--,3.6,943.5,73,
2011年7月5日,25.0,31.2,20.7,11.5,9.4,--,4.4,942.7,65,
2011年7月6日,24.1,32.1,17.4,1.0,9.1,--,2.4,946.3,66,
2011年7月7日,21.6,23.2,19.9,28.5,0.0,--,2.4,948.6,91,
2011年7月8日,26.5,33.0,21.1,2.5,6.2,--,2.7,952.8,72,
2011年7月9日,27.2,34.6,22.7,--,6.0,--,2.4,955.1,71,
2011年7月10日,26.5,35.2,21.6,0.0,9.5,--,2.1,955.9,71,
2011年7月11日,26.2,33.8,21.2,--,7.9,--,2.2,956.9,71,
2011年7月12日,26.1,33.6,20.7,--,8.7,--,2.5,956.4,70,
2011年7月13日,27.0,33.5,22.5,0.0,9.3,--,2.3,955.4,66,
2011年7月14日,27.4,34.8,22.7,--,11.3,--,2.2,954.6,64,
2011年7月15日,27.6,35.8,21.0,--,13.1,--,2.2,953.6,62,
2011年7月16日,28.1,35.6,22.6,--,11.8,--,2.4,951.9,64,
2011年7月17日,27.8,35.8,21.9,--,11.1,--,2.5,951.2,64,
2011年7月18日,25.9,31.9,22.2,3.0,2.2,--,1.7,951.0,71,
2011年7月19日,21.8,22.7,20.6,97.0,0.0,--,2.0,944.8,93,
2011年7月20日,24.0,30.1,20.7,37.5,2.4,--,1.8,934.6,86,
2011年7月21日,26.5,32.4,21.7,0.0,9.4,--,3.0,940.7,67,
2011年7月22日,23.9,30.0,20.4,0.0,7.6,--,2.8,946.4,67,
2011年7月23日,25.6,31.9,20.6,0.0,8.6,--,2.4,946.9,68,
2011年7月24日,25.0,30.2,21.2,--,6.4,--,2.9,950.7,68,
