kanji,on-yomi,kun-yomi,meaning,examples
不,フ、ブ,,non-; negative; bad,不便 (ふべん) inconvenience
世,セ、セイ、ソウ,よ,generation; public; society; world,"世界 (せかい) world
世話 (せわ) looking after"
主,シュ、シュウ、ス,おも、ぬし,chief; lord; main thing; master; principal,ご主人 (ごしゅじん) (hon) your husband
乗,ショウ、ジョウ,の・せる、の・る,board; ride; counter for vehicles; multiplication; power,"乗り換える (のりかえる) to transfer/change (bus, train)
乗り物 (のりもの) vehicle
乗る (のる) to get on (train, plane, bus, ship, etc.); to ride; to board"
事,ジ,こと,business; fact; matter; possibly; reason; thing,"事務所 (じむしょ) office
事故 (じこ) accident; incident; trouble
仕事 (しごと) work; job; business
返事 (へんじ) reply; response"
京,キョウ,みやこ,capital,京都 (きょうと) Kyoto
仕,シ、ジ,つか・える,attend; doing; official; serve,"仕事 (しごと) work; job; business
仕方 (しかた) way; method; means"
代,タイ、ダイ,かわ・る、か・える,change; replace; substitute; convert; counter for decades of ages; fee; generation; period,"代わり (かわり) substitute; replacement
時代 (じだい) period; era; times"
以,イ,,because; by means of; compared with,"以上 (いじょう) more than (or equal to); at least
以下 (いか) less than (or equal to); below
以内 (いない) within; up to; less than
以外 (いがい) with the exception of; other than"
会,エ、カイ,あ・う、あ・わせる、あつ・まる,association; interview; join; meet; meeting; party,"会う (あう) to meet
会場 (かいじょう) assembly hall; venue
会社 (かいしゃ) company
会議 (かいぎ) meeting; conference"
低,テイ,ひく・い、ひく・まる、ひく・める,humble; lower; short,"低い (ひくい) low (rank, volumn, etc.) | short (height); low (position)"
住,ジュウ、チュウ、ヂュウ,す・まう、す・む,live; reside,"住む (すむ) to live; to reside; to inhabit
住所 (じゅうしょ) address (e.g. of house)"
体,タイ、テイ,かたち、からだ,body; object; substance,"体 (からだ) body
大体 (だいたい) generally; approximately"
作,サ、サク,つく・り、つく・る,build; make; prepare; production,"作る (つくる) to make; to produce; to manufacture
作文 (さくぶん) writing; composition"
使,シ,つか・い、つか・う,ambassador; use,"使う (つかう) to use
大使館 (たいしかん) embassy"
便,ビン、ベン,たよ・り,convenience; facility; feces; letter,"不便 (ふべん) inconvenience
便利 (べんり) convenient; handy; useful
郵便局 (ゆうびんきょく) post office"
借,シャク,か・りる,borrow; rent,借りる (かりる) to borrow; to have a loan | to rent
働,ドウ,はたら・く,work,働く (はたらく) to work; to labor
元,ガン、ゲン,もと,beginning; origin; former time,元気 (げんき) healthy; well; lively
兄,キョウ,あに,elder brother,"お兄さん (おにいさん) older brother
兄 (あに) (hum) older brother
兄弟 (きょうだい) siblings; brothers and sisters"
光,コウ,ひか・る,light; ray,"光 (ひかり) light; illumination
光る (ひかる) to shine; to glitter"
公,ク、コウ,おおやけ,governmental; public,"公務員 (こうむいん) government worker
公園 (こうえん) park"
写,シャ、ジャ,うつ・す、うつ・る,copy,"写す (うつす) to copy; to transcribe; to photograph
写真 (しゃしん) photograph; photo; picture"
冬,トウ,ふゆ,winter,冬 (ふゆ) winter
切,サイ、セツ,き・る、き・れる,be sharp; cut,"切る (きる) to cut | to turn off (e.g. the light)
切手 (きって) stamp (postage)
切符 (きっぷ) ticket
大切 (たいせつ) important; necessary
親切 (しんせつ) kindness; gentleness"
