kanji,on.yomi,kun.yomi,meaning
日,"ニチ, ジツ","ひ, -び, -か","day, sun, Japan, counter for days"
一,イチ,ひと(つ),one
国,コク,くに,country
人,ジン、 ニン,ひと,person
年,ネン,とし,"year, counter for years"
大,ダイ、 タイ,おお(きい),"large, big"
十,ジュウ,とお、 と,"ten, 10"
二,ニ、 ジ,ふた(つ),"two, 2"
本,ホン,もと,"book, present, true, counter for long cylindrical things"
中,チュウ,なか、 うち、 あた(る),"in, inside, middle, mean, center"
長,チョウ,なが(い)、 おさ,"long, leader, superior, senior"
出,シュツ、 スイ,で(る)、 だ(す)、 い(でる),"exit, leave, go out"
三,サン,み(つ),"three, 3"
時,ジ,とき、 -どき,"time, hour"
行,コウ、 ギョウ、 アン,い(く)、 ゆ(く)、 おこな(う),"going, journey, carry out, line, row"
見,ケン,み(る)、 み(せる),"see, hopes, chances, idea, opinion, look at, visible"
月,ゲツ、 ガツ,つき,"month, moon"
分,ブン、 フン、 ブ,わ(ける),"part, minute of time, understand"
後,ゴ、 コウ,のち、 うし(ろ)、 あと,"behind, back, later"
前,ゼン,まえ,"in front, before"
生,セイ、 ショウ,い(きる)、 う(む)、 お(う)、 は(える)、 なま,"life, genuine, birth"
五,ゴ,いつ(つ),"five, 5"
間,カン、 ケン,あいだ、 ま、 あい,"interval, space"
上,ジョウ、 ショウ、 シャン,うえ、 うわ-、 かみ、 あ(げる)、 のぼ(る)、 たてまつ(る),"above, up"
東,トウ,ひがし,east
四,シ,よ(つ)、 よん,"four, 4"
今,コン、 キン,いま,now; the present
金,キン、 コン、 ゴン,かね、 かな-、 -がね,gold
九,キュウ、 ク,ここの(つ),"nine, 9"
入,ニュウ,い(る)、はい(る),"enter, insert"
学,ガク,まな(ぶ),"study, learning, science"
高,コウ,たか(い),"tall, high, expensive"
円,エン,まる(い),"circle, yen, round"
子,シ、 ス、 ツ,こ、 ね,child
外,ガイ、 ゲ,そと、 ほか、 はず(す)、 と-,outside
八,ハチ,や(つ)、 よう,"eight, 8"
六,ロク,む(つ)、 むい,"six, 6"
下,カ、 ゲ,した、 しも、 もと、 さ(げる)、 くだ(る)、 お(ろす),"below, down, descend, give, low, inferior"
来,ライ、 タイ,く.る、 きた.る、 き、 こ,"come, due, next, cause, become"
気,キ、 ケ,いき,"spirit, mind, air, atmosphere, mood"
小,ショウ,ちい(さい)、 こ-、 お-、 さ-,"little, small"
七,シチ,なな(つ)、 なの,"seven, 7"
山,サン、 セン,やま,mountain
話,ワ,はな(す)、 はなし,"tale, talk"
女,ジョ,おんな、 め,"woman, female"
北,ホク,きた,north
午,ゴ,うま,"noon, sign of the horse"
百,ヒャク、 ビャク,もも,hundred
書,ショ,か(く),write
先,セン,さき、 ま(ず),"before, ahead, previous, future, precedence"
名,メイ、 ミョウ,な,"name, noted, distinguished, reputation"
川,セン,かわ,"river, stream"
千,セン,ち,thousand
水,スイ,みず,water
半,ハン,なか(ば),"half, middle, odd number, semi-"
男,ダン、 ナン,おとこ、 お,male; man
西,セイ、 サイ,にし,west
電,デン,,electricity; electric powered
校,コウ,,"school, exam"
語,ゴ,かた(る),"word, speech, language"
土,ド、 ト,つち,"soil, earth, ground"
木,ボク、 モク,き、 こ-,"tree, wood"
聞,ブン、 モン,き(く),to hear; to listen; to ask
食,ショク、 ジキ,く(う)、 た(べる)、 は(む),"eat, food"
車,シャ,くるま,"car, wheel"
何,カ,なに、 なん,what
南,ナン、 ナ,みなみ,south
万,マン、 バン,,"ten thousand, 10,000"
毎,マイ,ごと(に),every
白,ハク、 ビャク,しろ(い),white
天,テン,あまつ,"heavens, sky, imperial"
母,ボ,はは、 かあ,mother
火,カ,ひ、 -び、 ほ-,fire
右,ウ、 ユウ,みぎ,right
読,ドク、 トク、 トウ,よ(む),to read
友,ユウ,とも,friend
左,サ、 シャ,ひだり,left
休,キュウ,やす(む),"rest, day off, retire, sleep"
父,フ,ちち、 とう,father
雨,ウ,あめ、 あま,rain
